"entity_id","organization_name","organization_type","city","region","country","authentication_status","public_source_present","outreach_allowed"
"BD_BOOK_EXP_00180","Criminal Justice Program Institutional Book Buyer Seed","MOTORCYCLE_ORGANIZATION",,"US","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00182","Private Security Training Buyer Seed","MOTORCYCLE_ORGANIZATION",,"US","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00181","Public Safety / Law Enforcement Library Buyer Seed","MOTORCYCLE_ORGANIZATION",,"US","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00062","Salt Lake City Police Department","MOTORCYCLE_ORGANIZATION",,"UT","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00063","Salt Lake County Sheriff's Office","MOTORCYCLE_ORGANIZATION",,"UT","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_OP_00005","BACA International","CHARITY_MOTORCYCLE_ORGANIZATION",,"Utah","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00029","DOJ Outlaws Motorcycle Gang Enforcement Reference","MOTORCYCLE_ORGANIZATION",,"VA","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00167","FBI Law Enforcement Training","MOTORCYCLE_ORGANIZATION",,"VA","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00176","IACP Project Safe Neighborhoods Initiative","MOTORCYCLE_ORGANIZATION",,"VA","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00166","International Association of Chiefs of Police","MOTORCYCLE_ORGANIZATION",,"VA","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_01245","VIRGINIA BEACH CITY PROSECUTOR OFFICE","MOTORCYCLE_ORGANIZATION",,"VA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01247","VIRGINIA BEACH COMMUNITY COLLEGE POLICE","MOTORCYCLE_ORGANIZATION",,"VA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01243","VIRGINIA BEACH COUNTY SHERIFF OFFICE","MOTORCYCLE_ORGANIZATION",,"VA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01248","VIRGINIA BEACH GANG / VIOLENT CRIME UNIT","MOTORCYCLE_ORGANIZATION",,"VA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01251","VIRGINIA BEACH LAW ENFORCEMENT TRAINING DIVISION","MOTORCYCLE_ORGANIZATION",,"VA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01244","VIRGINIA BEACH MUNICIPAL COURT","MOTORCYCLE_ORGANIZATION",,"VA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01249","VIRGINIA BEACH NARCOTICS / ORGANIZED CRIME UNIT","MOTORCYCLE_ORGANIZATION",,"VA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01242","VIRGINIA BEACH POLICE DEPARTMENT","MOTORCYCLE_ORGANIZATION",,"VA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01246","VIRGINIA BEACH PUBLIC SAFETY DEPARTMENT","MOTORCYCLE_ORGANIZATION",,"VA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01250","VIRGINIA BEACH REGIONAL TASK FORCE","MOTORCYCLE_ORGANIZATION",,"VA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_00006","King County Sheriff's Office","MOTORCYCLE_ORGANIZATION",,"WA","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00992","SEATTLE CITY PROSECUTOR OFFICE","MOTORCYCLE_ORGANIZATION",,"WA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_00994","SEATTLE COMMUNITY COLLEGE POLICE","MOTORCYCLE_ORGANIZATION",,"WA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_00990","SEATTLE COUNTY SHERIFF OFFICE","MOTORCYCLE_ORGANIZATION",,"WA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_00995","SEATTLE GANG / VIOLENT CRIME UNIT","MOTORCYCLE_ORGANIZATION",,"WA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_00998","SEATTLE LAW ENFORCEMENT TRAINING DIVISION","MOTORCYCLE_ORGANIZATION",,"WA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_00991","SEATTLE MUNICIPAL COURT","MOTORCYCLE_ORGANIZATION",,"WA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_00996","SEATTLE NARCOTICS / ORGANIZED CRIME UNIT","MOTORCYCLE_ORGANIZATION",,"WA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_00005","Seattle Police Department","MOTORCYCLE_ORGANIZATION",,"WA","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00993","SEATTLE PUBLIC SAFETY DEPARTMENT","MOTORCYCLE_ORGANIZATION",,"WA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_00997","SEATTLE REGIONAL TASK FORCE","MOTORCYCLE_ORGANIZATION",,"WA","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01119","MILWAUKEE CITY PROSECUTOR OFFICE","MOTORCYCLE_ORGANIZATION",,"WI","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01121","MILWAUKEE COMMUNITY COLLEGE POLICE","MOTORCYCLE_ORGANIZATION",,"WI","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01117","MILWAUKEE COUNTY SHERIFF OFFICE","MOTORCYCLE_ORGANIZATION",,"WI","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01122","MILWAUKEE GANG / VIOLENT CRIME UNIT","MOTORCYCLE_ORGANIZATION",,"WI","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01125","MILWAUKEE LAW ENFORCEMENT TRAINING DIVISION","MOTORCYCLE_ORGANIZATION",,"WI","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01118","MILWAUKEE MUNICIPAL COURT","MOTORCYCLE_ORGANIZATION",,"WI","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01123","MILWAUKEE NARCOTICS / ORGANIZED CRIME UNIT","MOTORCYCLE_ORGANIZATION",,"WI","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01116","MILWAUKEE POLICE DEPARTMENT","MOTORCYCLE_ORGANIZATION",,"WI","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01120","MILWAUKEE PUBLIC SAFETY DEPARTMENT","MOTORCYCLE_ORGANIZATION",,"WI","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_01124","MILWAUKEE REGIONAL TASK FORCE","MOTORCYCLE_ORGANIZATION",,"WI","USA","AUTHENTICATION_PENDING","False","False"
