"Name","FullName","Length","MatchedCities"
"city_expansion_summary_report.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\target_expansion\planning\city_expansion_summary_report.json","274905","Long Beach, Los Angeles, San Diego, Phoenix, Scottsdale, Mesa, Tucson, Las Vegas, Henderson"
"city_normalized_expansion_baseline.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\target_expansion\planning\city_normalized_expansion_baseline.json","1045987","Long Beach, Los Angeles, San Diego, Phoenix, Scottsdale, Mesa, Tucson, Las Vegas, Henderson"
"city_target_counts.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\target_expansion\planning\city_target_counts.json","274670","Long Beach, Los Angeles, San Diego, Phoenix, Scottsdale, Mesa, Tucson, Las Vegas, Henderson"
"normalized_city_summary_report.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\target_expansion\planning\normalized_city_summary_report.json","40127","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"normalized_city_target_counts.clean.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\target_expansion\planning\normalized_city_target_counts.clean.json","75441","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"normalized_city_target_counts.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\target_expansion\planning\normalized_city_target_counts.json","39930","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"city_expansion_gap_queue.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\target_expansion\queues\city_expansion_gap_queue.json","902320","Long Beach, Los Angeles, San Diego, Phoenix, Scottsdale, Mesa, Tucson, Las Vegas, Henderson"
"normalized_city_expansion_gap_queue.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\target_expansion\queues\normalized_city_expansion_gap_queue.json","58974","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"clean_city_expansion_work_queue.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\target_expansion\source_resolution\queues\clean_city_expansion_work_queue.json","26770","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"source_query_templates_by_city.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\target_expansion\source_resolution\templates\source_query_templates_by_city.json","54490","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"entity_deduplication_output.json","C:\Dev\Nexus_MASTER\public\data\intelligence\outputs\entity_deduplication_output.json","9088","San Diego, Phoenix, Scottsdale, Mesa, Tucson"
"unified_entity_fusion_output.json","C:\Dev\Nexus_MASTER\public\data\intelligence\outputs\unified_entity_fusion_output.json","133343","San Diego, Phoenix, Scottsdale, Mesa, Tucson"
"unified_entity_intelligence_index.json","C:\Dev\Nexus_MASTER\public\data\intelligence\outputs\unified_entity_intelligence_index.json","5191","San Diego, Phoenix, Scottsdale, Mesa, Tucson"
"runtime_entity_cache.json","C:\Dev\Nexus_MASTER\public\data\intelligence\runtime\runtime_entity_cache.json","3408","San Diego, Phoenix, Scottsdale, Mesa, Tucson"
